gen_id,ref_id,dialect_region,gen_text,gen_phoneme,gen_dialect,speaker_id,ref_text,sentence_id,gender,age,token_count
10_Wallis_50e4a935-c887-4c38-aff2-6286aab725d1,10,Wallis,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Der Trend könnte die Tourismusindustrie langfristig verändern.,ɛ v ts ɪ d r a ts iː aʊ n x ɔ t ɪ ɡ ə m t u r i s m ʊ s v ɔ k s t ɪ m ə r m eː r aɪ z ə n d iː l ɛ k ɡ ə v ɛ t uː f uː m ə f r ø n t l ɪ f eː h oː t ɛ l ʊ n t aʊ k x t i v i t ɛ t ə d ɛ r t r ɛ n ə t x a n t iː d iː t uː r ɪ s m u s ɪ n d ʃ t r iː l aʊ m f ɪ ç t ɪ k f ɛ r a n d ə r ə,Basel,50e4a935-c887-4c38-aff2-6286aab725d1,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,female,twenties,26
10_Basel_8050767b-0a0e-43db-8754-2a42e896f7dd,10,Basel,das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,aʊ ɡ ə n d a ɪ n t r a s eː n oː x a l t ɪ ɡ ə n t uː r ɪ s m ʊ s v ɔ k s t ɪ m o m eː r aɪ z ə n d iː l eː ɡ ə v a t ʊ f uː m v aɪ l t f uː n t ɪ f iː h oː p t ɛ s ʊ n t a k t iː v i t ɛ t ə ɛ d a t r ɛ n t k ə n d iː t uː r ɪ s m ʊ s ɪ n d u s t r iː l aʊ m f r y ʃ t ɪ k f y ɾ a n d ə r ə,Basel,8050767b-0a0e-43db-8754-2a42e896f7dd,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,female,thirties,26
10_Graubünden_6516567b-0d9b-4853-880c-d5f0327dd384,10,Graubünden,das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,z ɪ n t r ɛ s ə a n oː x a l t ɪ ɡ m t uː r i s m u a k s t ɪ m ə m eː r aɪ z ə n d ɪ l eː d ə v ɛ r t ʊ f uː m ə f y n t ɪ h iː h oː t ə s ʊ n d aʊ k t iː v iː t ɛ t ə a d ɛ t r eː n t k ɛ n d iː t uː r ɪ s m ʊ s ɪ n d uː ʃ t r iː l aʊ f y ç t ɪ k f ɪ r ɛ n d ə r ə p ʊ ŋ k t,Basel,6516567b-0d9b-4853-880c-d5f0327dd384,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,fourties,26
10_Innerschweiz_acf67674-c912-42c0-ba3c-f85e2db965ac,10,Innerschweiz,"Und da das Interesse nach nachhaltigem Tourismus wächst, immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Und dieser Trend könnte die Tourismusindustrie langfristig",ɪ b oː n d ɑː z iː t r a s e n ɔ m ɛ x ɛ l t i ɡ ɪ m t u r i s m u s v ɔ x s t ɪ n ʊ m eː r ə aɪ s ə n d iː l ɛ k ə v a r t uː f uː m a f y n t ə f iː h ɔ t ɛ s ɪ n aʊ x t iː v i t ɛ t ə ʊ n t ɛ t r ɛ n t k aɪ n t i t u r i s m ʊ s ɪ n d u ʃ t l a,Basel,acf67674-c912-42c0-ba3c-f85e2db965ac,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,thirties,26
10_Basel_8800b4de-fa22-4fdc-9f29-457c4010fd57,10,Basel,An nachhaltigem Tourismus wächst immer mehr. Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Und diesen Trend könnte die Tourismusindustrie langfristig verändern.,r ɪ s n ʊ s ɔ n aʊ x a l t ɪ ɡ ə m t uː r ɪ s m ʊ s v ɔ k s t ɪ m ʊ m eː r aɪ z ə n d iː l eː ɡ ə v a t oː f uː m v a l t f r y m t ə f iː h oː t ɛ l ʊ n t ɑː k t iː v iː t a t ə ʊ n d a t r ɛ n t x ɜː n d iː t uː r ɪ s m ʊ s ɪ n t ʃ t r iː l aʊ f r y ç t ɪ k f r a n,Basel,8800b4de-fa22-4fdc-9f29-457c4010fd57,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,female,fourties,26
10_Bern_0497b106-6644-42ce-b99e-57f9a6c7fc81,10,Bern,Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verhindern.,ʒ e n t r a s ə a n x a l t i ɡ ə m t u r i s m u s v ɔ x s t ɪ r m e ə r aɪ z ə n d iː l e k ə v ɛ r t u f ʊ m b aʊ f r y n t ə r e h o t aʊ ʊ n d aʊ x t i v i t aː t d ɛ t r e n t f o n d iː t u r i z m u s n d u ʃ t r iː l a ŋ f r ɪ ʃ t ɪ k f r eː,Basel,0497b106-6644-42ce-b99e-57f9a6c7fc81,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,sixties,26
10_Zürich_ba826a45-33f8-47ef-9516-a66a201aac29,10,Zürich,"Wenn das Interesse an nachhaltigem Tourismus wächst und immer mehr Reisende Wert legen auf umweltfreundliche Hotels und Aktivitäten, könnte die Tourismusindustrie langfristig verändern.",v ɛ l ə n z iː t r a s ə aʊ m aʊ x aʊ t ɪ ɡ ə t uː r i s m ʊ s m aʊ x s t ʊ n t ɪ b n ə r m eː r aɪ s ə n d iː l eː ɡ ə v a r r t uː f f u m v a t f r y n t l ɪ x eɪ h oː t ɛ s ʊ n t aʊ k t i v iː t eː ə aʊ z ɔ d e t ɛ ɛ n k ɔ n t d i t u r i s m u s iː n t ʃ t r iː l ɑː ŋ f r ɪ ç t ɪ k f ɛ r a n t r ə,Basel,ba826a45-33f8-47ef-9516-a66a201aac29,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,female,fifties,26
10_Wallis_0b890339-031a-43ef-bc2e-5e8b5ac5e613,10,Wallis,"nachhaltigem Tourismus lag, immer mehr leistende Gewerbe auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.",i k ɛ n ə n d aʊ x ɔ l t ɪ ɡ ə m t u r i s m u s l aʊ s ɪ m ə r n eː l e eː s ə n v i l e ɡ v ɛ r t ə uː f oː u m ɛ f r y n d t l ɪ x h oː t ɛ l s ʊ n t n a x t i v i t aː t ə d iː z ɛ r t r eː n t x ɛ n d i t u r i s m u s ɪ n d uː ʃ t r iː l aʊ m f r i ç t i k f ɛ r ɛ n d r ə,Basel,0b890339-031a-43ef-bc2e-5e8b5ac5e613,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,female,thirties,26
10_Ostschweiz_72911186-8b0e-4c0b-af3d-4d8765072930,10,Ostschweiz,"Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Täterentwicklung, Tourismusindustrie, langfristig verändern.",ts ɪ n p r ɛ s ə a n oː x h ɑː l t ɪ ɡ ə n t ʊ r iː z m ʊ s v ɔ x s t ɪ m ɜ m eː r aɪ s ə n d iː l eː t ə b ɛ r t uː f uː m ɛ l f y n t r ə f iː h oː p eː ʊ n b aʊ x d iː t eː t ə b eː t r ə t x y m p t t ʊ iː s m ʊ s ɪ ɪ n d u ʃ t r iː ɪ n l ɑː m f r y ʃ t ɪ k f r n b r ə,Basel,72911186-8b0e-4c0b-af3d-4d8765072930,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,twenties,26
10_Graubünden_c4f6bcdf-fc02-4fe8-9277-0701cfffebab,10,Graubünden,In Nürnberg hat das Interesse an nachhaltigem Tourismus gewachsen. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,d i n a n t r aʊ x a n t ɪ ç ə ɪ n t ə r ɛ s ə a n a l t ɪ ɡ ə m t uː r i s m ʊ s v a k s t ɪ m ə r m eː r aɪ z ə n d iː l eː d ɛ m v ɛ r t aʊ f ʊ m v ɛ l t f r y n t l ə f iː h oː t ɛ l s ʊ n t ɑː k t i v i t ɛ t ə d ɛ t r e n t k ɔ n t i t uː r i s m ʊ s ɪ n d u ʃ t r i l a ŋ f r ɪ ʃ t ɪ k f ɛ r ɛ n t ə r ɛ,Basel,c4f6bcdf-fc02-4fe8-9277-0701cfffebab,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,female,teens,26
10_Basel_1cd99b41-8298-4180-aec6-bb65039c9ed7,10,Basel,Interesse an nachhaltigem Tourismus wächst immer mehr. Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Der Trend könnte die Tourismusindustrie langfristig verändern.,ʊ ɪ n t r a s ə ɔ n oː h ɑː l t ɪ ɡ ɪ m t u r ɪ s m ʊ s v ɔ k s t ɪ m ʊ m eː r aɪ s ə n d iː l ɛ ɡ ə v t uː f uː b ɑː l t f y n p l ɪ f iː h oː v ɛ l z ə n d aʊ x d iː iː t t ə d a t r ɛ n t k ɔ n t iː t u r ɪ s m ʊ s ɪ n d uː ʃ t r l a ŋ f ɪ ç t ɪ k f oː r a n d ə r ə,Basel,1cd99b41-8298-4180-aec6-bb65039c9ed7,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,twenties,26
10_Innerschweiz_aa7d9d2c-90d3-41f9-a92e-f07b93765f8b,10,Innerschweiz,Interesse an einer nochhaltigen Tourismuswachst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ə v a l t ɪ n t r ɛ s z a m ə ts ɛ l ə n ɔ x a l t ɪ t uː r i s m ʊ s v ɔ x s t ɪ n m a m eː r aɪ s ə n d iː l ɛ k ə v ɛ r t ʊ f ʊ m ə a f r y n t l ɪ x iː h ɔ t ə ʊ m d a x t v iː t ɛ eː t ə d a t r ɛ m t x ɛ n t d iː t uː r i s m ʊ s ɪ n d ʊ s t r iː l a ŋ ʊ f r ɪ ç t ɪ k f ɛ a n d ə r ə,Basel,aa7d9d2c-90d3-41f9-a92e-f07b93765f8b,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,female,twenties,26
10_Zürich_4ee1811c-9884-4261-99cb-2f7346c8ea6e,10,Zürich,In den letzten Jahren wächst das Interesse an nachhaltigem Tourismus. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Der Trend könnte die Tourismusindustrie langfristig verändern.,ɪ n ts ɪ d ɪ s j oː n d ɛ ə ts ɪ n r ɛ s ts ɪ n a n aɪ h æ t ə v ɪ n t ʊ r ɪ z m ʊ v ɛ k s t ɪ m ʊ m eː r aɪ z ə n d iː l ɛ k ə v a t ʊ n f uː m æ f y t l ɪ f iː h oː t eɪ z ə n h ɛ p t iː v iː t eː t ə d ɛ t r ɛ n t ɛ n t iː t u r ɪ z m ʊ s ɪ n d uː ʃ t r iː l a n f r y ʃ t y k f ʊ r a n d r ə a n,Bern,4ee1811c-9884-4261-99cb-2f7346c8ea6e,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,twenties,26
10_Ostschweiz_a677eda9-7709-4c9d-8656-e7b665140f3b,10,Ostschweiz,das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Der Trend könnte die Tourismusindustrie langfristig verändern.,n aʊ s ɪ n t ə r ɛ s ts ə ɑː h n ɔ x a l t ə d ʊ m t ʊ r ɪ s m ʊ s v a s t ɪ m ɔ m eː r aɪ s ə n d iː d ɛ ɡ ə v eː t uː f ʊ m v ɛ l f ʊ n d f iː r oː t r ʊ n t a x t ə d iː d ɛ t ə d ɛ ɾ b r ɛ n t f ɪ n d d ʊ v ɪ s m ʊ s iː d ʃ t r iː l a m f y ʃ t ɪ k f ɔ r ɛ m d r,Basel,a677eda9-7709-4c9d-8656-e7b665140f3b,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,thirties,26
10_Bern_d9b44aee-da3d-42c8-8ad1-d1029767f05a,10,Bern,das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ts e n t r a ts ə aʊ n ɔ x aʊ t ɪ ɡ ə m t u r i s m ʊ s v ɔ x s t ɪ m m eː r aɪ z ə n d iː l ɛ ɡ ə v a r t uː oː m a l p f r y n t d ʊ x iː h oː d ɛ r e z ɔ x t i v i t a ə d a p r ɛ n t x o n t d iː t u r i z m ʊ z ɛ n t uː ʃ t r iː l aʊ ŋ f r ɪ ç t ɪ k f ɛ r a n t ə,Basel,d9b44aee-da3d-42c8-8ad1-d1029767f05a,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,fourties,26
10_Bern_24f85b05-10f3-49f3-bfd0-273120e750cb,10,Bern,"das Interesse an nachhaltigem Tourismus wächst, immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.",ts ɛ n t r a s oː m aʊ x aʊ l t i ɡ u m t u r i s m u s m aʊ x s t ɪ m ə m eː ɪ s ə n d iː l e k ə v a r d uː f ʊ m a l f r ʊ n t ʊ x iː h oː t ɛ l ʊ m t aʊ x t i v iː t a t d ɛ ɾ t r ɛ m t f o n d iː t u r i s m u ɪ n d u ʃ t r iː b l aʊ f ɪ ʃ t iː k a f r a n d ə r ə,Basel,24f85b05-10f3-49f3-bfd0-273120e750cb,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,fourties,26
10_Innerschweiz_72725555-9e5d-436a-b311-25048bc0c594,10,Innerschweiz,Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Durch diesen Trend könnte die Tourismusindustrie langfristig,a s ɪ n t r a ts ə aʊ m n x aʊ l t i ɡ ə m t u r i s m u s v ɔ x s t ɪ m ə m eː r s ə n d iː l e ɡ v ɛ r t uː ʊ m v a l t r y n t x iː h oː t ɛ l s ʊ n t a k t i v i t eː t ə d ʊ d eː d ɛ t r ɛ n t x o n t uː r i s m u s ə ɪ n d u ʃ t r iː l aʊ m f l ɪ ʃ t ɪ k,Basel,72725555-9e5d-436a-b311-25048bc0c594,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,female,fourties,26
10_Bern_d2dee463-0eb9-47fa-b739-f1dccd8638f9,10,Bern,solange das Essen am nachhaltigen Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Der Trend könnte die Tourismusindustrie langfristig verändern.,oː n ɔ aɪ n ə t e a s ɔ n ɔ h aʊ t iː k i m t u r i z m o s v ɔ x s t ɪ m ə m eː r a iː s ə n d iː j e ɡ e v a t uː f uː m b aʊ t f r y n t r ə f iː h oː t l z n d ɔ x t iː v iː t t ə d e t r e n t x ɔ n t i t u r i s m o s e ɪ n d u ʃ t r iː l aʊ n f r i ʃ t iː k f r a n d ə r ə,Basel,d2dee463-0eb9-47fa-b739-f1dccd8638f9,Das Interesse an nachhaltigem Tourismus wächst. Immer mehr Reisende legen Wert auf umweltfreundliche Hotels und Aktivitäten. Dieser Trend könnte die Tourismusindustrie langfristig verändern.,ChatGPT,male,twenties,26
