reference,token_count_ref
"Ich war gestern mit meiner Schwester in der Stadt und wir haben die neuesten Modetrends angeschaut. Es war interessant zu sehen, wie sich der Stil in den letzten Jahren verändert hat. Besonders auffällig waren die vielen nachhaltigen Marken, die jetzt populär sind.",47
Ich freue mich schon auf das nächste Treffen mit Freunden.,11
Der Tourismus verändert sich zunehmend. Immer mehr Menschen legen Wert auf umweltbewusste Reisen. Ökologische Hotels und nachhaltige Reiseangebote sind stark im Kommen.,25
Die Kinder haben im Garten gespielt und dabei viel gelacht.,11
Die Kinder haben heute im Garten gespielt und viel gelacht.,11
"Ich war gestern in einem neuen Café. Die Atmosphäre war ruhig und gemütlich, und der Kuchen war lecker. Ich habe mich dort richtig wohlgefühlt.",28
"Ich habe mir eine neue Jacke gekauft, sie gefällt mir sehr gut.",14
Die Blumen im Garten blühen in den schönsten Farben.,10
Der Trend zu veganer Ernährung nimmt zu. Viele Menschen entscheiden sich aus gesundheitlichen oder ethischen Gründen für eine pflanzliche Ernährung. Supermärkte reagieren mit einem breiteren Angebot.,29
"Ich habe vor kurzem mit meiner Mutter über unsere Familiengeschichte gesprochen. Sie erzählte mir von alten Traditionen und Bräuchen, die in unserer Familie gepflegt wurden. Es war schön zu erfahren, wie viel wir von unseren Vorfahren übernommen haben, ohne es wirklich zu merken.",49
Ich habe heute ein neues Rezept ausprobiert und es ist wirklich gut geworden.,14
"Ich habe heute den ganzen Nachmittag im Garten gearbeitet. Es war anstrengend, aber jetzt sieht alles viel schöner aus.",22
"Ich brauche dringend eine Pause, dieser Tag war sehr anstrengend.",12
"Ich habe letzte Woche mit meinem Freund ein altes Restaurant besucht. Es war wirklich schön, mal wieder dort zu essen, da es immer noch das gleiche Gefühl von Gemütlichkeit ausstrahlt wie früher. Das Essen war wie immer fantastisch.",43
"Ich habe gestern den ganzen Tag im Garten verbracht. Es war anstrengend, aber auch richtig befriedigend, alles zu erledigen.",23
Die Kinder waren heute den ganzen Tag draußen und sind jetzt müde.,13
Der neue Film hat mich sehr beeindruckt.,8
"Meine Nachbarn renovieren ihre Wohnung, es ist den ganzen Tag laut.",13
"Letzte Woche habe ich mit meiner Schwester telefoniert. Wir haben über ihre Reisen gesprochen und was sie alles erlebt hat. Es war schön, von ihr zu hören.",31
"Wir könnten morgen zusammen einen Spaziergang im Park machen. Es ist immer schön, die frische Luft zu genießen.",21
Wir könnten nächste Woche zusammen zum Markt gehen. Dort gibt es immer frisches Gemüse und leckeren Käse.,19
"Es ist so entspannend, im Park zu sitzen und die Natur zu genießen.",15
Wir sollten bald mit den Vorbereitungen für die Feier beginnen.,11
Ich war heute im Supermarkt und habe ein paar neue Produkte ausprobiert. Der neue Joghurt war wirklich lecker.,20
"Ich habe heute ein Gespräch über die Zukunft der Bildung geführt. Es wurde darüber gesprochen, wie sich die Schulen durch Technologie und digitale Medien verändern könnten. Sehr interessante Ideen!",33
"Ich habe neulich einen Artikel über künstliche Intelligenz gelesen. Es ging um die verschiedenen Einsatzmöglichkeiten von AI in der Medizin, insbesondere bei der Diagnose von Krankheiten. Es ist faszinierend, wie Technologie immer mehr in den Alltag integriert wird und die Gesundheitsversorgung verbessert.",47
Die Kinder haben heute beim Spielen viel Freude gehabt.,10
"Der Film war wirklich gut, ich kann ihn nur empfehlen.",12
"Ich habe mir überlegt, mit Yoga anzufangen.",9
"Ich habe heute eine Freundin getroffen, die ich lange nicht mehr gesehen habe.",15
Ich habe heute ein gutes Gespräch mit meinem Chef geführt. Es war sehr produktiv und wir haben einiges geklärt.,21
"Es ist so schön, mal wieder in der Natur zu sein.",13
"Es tut so gut, nach der Arbeit einfach mal die Füße hochzulegen. Heute Abend werde ich es mir richtig gemütlich machen.",24
Wir könnten am Wochenende eine Fahrradtour planen.,8
Der neue Kollege hat sich gut ins Team eingefügt.,10
Der Sonnenuntergang war heute besonders schön.,7
Die Umweltverschmutzung stellt eine zunehmende Gefahr dar. Insbesondere die Luftverschmutzung in großen Städten hat negative Auswirkungen auf die Gesundheit der Menschen. Maßnahmen zur Luftreinhaltung sind daher dringend notwendig.,31
"Ich habe mir vorgenommen, gesünder zu essen.",9
Morgen fahre ich zu einem Freund. Wir wollten zusammen etwas unternehmen. Ich freue mich schon darauf.,19
Die Aussicht vom Hotelzimmer war beeindruckend.,7
Die Aussicht vom Gipfel des Berges war beeindruckend.,9
"Am Wochenende habe ich meine Freunde getroffen. Wir haben viel gelacht und gemeinsam gekocht. Es war ein schöner Nachmittag, den wir alle genossen haben.",28
"Ich habe mir vorgenommen, mehr Zeit mit meiner Familie zu verbringen.",13
Die Stadt ist wunderschön beleuchtet zur Weihnachtszeit.,8
Die Nachhaltigkeit wird in der Modeindustrie immer wichtiger. Immer mehr Marken setzen auf umweltfreundliche Materialien und faire Produktion. Dieser Trend könnte langfristig die gesamte Branche verändern.,29
"Ich habe beschlossen, mehr Zeit draußen zu verbringen.",10
"Ich habe gestern meine Wohnung umgestellt. Es war viel Arbeit, aber jetzt ist es viel gemütlicher.",19
"Der Film war lustig, aber die Handlung war etwas vorhersehbar.",12
Ich habe lange nach einem passenden Geschenk gesucht und endlich etwas gefunden.,13
"Die Digitalisierung hat auch den Bildungsbereich verändert. Online-Kurse und virtuelle Klassenzimmer sind mittlerweile eine gängige Methode, um Wissen zu vermitteln. Es bleibt abzuwarten, wie diese Form des Lernens die traditionellen Bildungswege ergänzen wird.",38
"Ich war letzte Woche beim Zahnarzt, und zum Glück war alles in Ordnung.",15
Wir könnten uns morgen auf einen Kaffee treffen.,9
"Ich habe vor, dieses Wochenende einfach mal nichts zu tun.",12
"Wir könnten am Wochenende zusammen eine Wanderung machen. Es gibt tolle Routen, die nicht zu schwer sind.",20
"Ich habe mich entschieden, wieder mit dem Joggen anzufangen.",11
Ich habe ein neues Café entdeckt und möchte es bald ausprobieren.,12
"Ich habe vergessen, wie viel Spaß es macht, draußen zu spielen.",14
"Es gibt viele Vorteile, wenn man auf eine pflanzliche Ernährung umsteigt. Neben den positiven Auswirkungen auf die Gesundheit kann eine vegane Ernährung auch einen Beitrag zum Umweltschutz leisten. Immer mehr Menschen entscheiden sich aus diesen Gründen für pflanzliche Kost.",43
Hast du die neuen Nachbarn schon kennengelernt?,8
"Die Präsentation war sehr gelungen, alle waren begeistert.",10
Die Kinder haben heute den ganzen Nachmittag gebastelt.,9
