Sentence;Category;;;;;;;;;;;
Ich freue mich schon auf das Konzert nächste Woche.;Spoken Speech - Simple;;;;;;;;;;;
Das Frühstück im Hotel war unglaublich gut, besonders die frischen Brötchen.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten uns öfter Zeit für ein gemeinsames Abendessen nehmen.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon alle Geschenke für Weihnachten besorgt?;Spoken Speech - Simple;;;;;;;;;;;
Es ist erstaunlich, wie schnell die Kinder wachsen.;Spoken Speech - Simple;;;;;;;;;;;
Ich brauche dringend eine Pause, dieser Tag war sehr anstrengend.;Spoken Speech - Simple;;;;;;;;;;;
Wenn du Hilfe bei den Hausaufgaben brauchst, kannst du mich jederzeit fragen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern ein Rezept für einen leckeren Kuchen gefunden, das müssen wir ausprobieren.;Spoken Speech - Simple;;;;;;;;;;;
Die Sonne geht im Winter immer viel zu früh unter.;Spoken Speech - Simple;;;;;;;;;;;
Der Vortrag war interessant, aber ein bisschen zu lang.;Spoken Speech - Simple;;;;;;;;;;;
Ich hoffe, dass ich bald wieder reisen kann.;Spoken Speech - Simple;;;;;;;;;;;
Kannst du mir sagen, wo ich hier einen Geldautomaten finde?;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Samstag einen Spaziergang im Wald machen, das wäre schön.;Spoken Speech - Simple;;;;;;;;;;;
Der Chef hat heute eine wichtige Ankündigung gemacht.;Spoken Speech - Simple;;;;;;;;;;;
Wenn du morgen Zeit hast, könnten wir zusammen einkaufen gehen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe vor, dieses Wochenende einfach mal nichts zu tun.;Spoken Speech - Simple;;;;;;;;;;;
Die neue Ausstellung im Museum soll sehr sehenswert sein.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe vergessen, den Backofen auszuschalten, als ich gegangen bin.;Spoken Speech - Simple;;;;;;;;;;;
Wir brauchen unbedingt eine neue Kaffeemaschine, die alte funktioniert nicht mehr richtig.;Spoken Speech - Simple;;;;;;;;;;;
Der Schnee hat über Nacht alles in eine weiße Winterlandschaft verwandelt.;Spoken Speech - Simple;;;;;;;;;;;
Das neue Handy hat viele praktische Funktionen, aber es war auch ziemlich teuer.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mich entschieden, mehr Sport zu machen, um fitter zu werden.;Spoken Speech - Simple;;;;;;;;;;;
Wenn du möchtest, können wir uns morgen auf einen Kaffee treffen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Gipfel des Berges war einfach atemberaubend.;Spoken Speech - Simple;;;;;;;;;;;
Es ist immer eine gute Idee, frühzeitig mit den Vorbereitungen anzufangen.;Spoken Speech - Simple;;;;;;;;;;;
Der Hund ist so verspielt, er bringt ständig sein Spielzeug.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten uns bald um die Steuererklärung kümmern.;Spoken Speech - Simple;;;;;;;;;;;
Das Frühstück war lecker, aber ich habe den Kaffee vermisst.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder freuen sich schon auf die Sommerferien.;Spoken Speech - Simple;;;;;;;;;;;
Ich bin gespannt, wie das neue Restaurant ist.;Spoken Speech - Simple;;;;;;;;;;;
Das Training war hart, aber es hat sich gelohnt.;Spoken Speech - Simple;;;;;;;;;;;
Kannst du mir den Weg zum Bahnhof erklären?;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, dass wir pünktlich zum Termin erscheinen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe keine Ahnung, wie das passiert ist.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten öfter solche Ausflüge machen, das tut richtig gut.;Spoken Speech - Simple;;;;;;;;;;;
Der neue Nachbar ist sehr freundlich und hat uns schon einmal geholfen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe ein richtig gutes Angebot im Internet gefunden.;Spoken Speech - Simple;;;;;;;;;;;
Die Sonne scheint, aber es ist trotzdem ziemlich kalt.;Spoken Speech - Simple;;;;;;;;;;;
Hast du Lust, heute Abend einen Film zu schauen?;Spoken Speech - Simple;;;;;;;;;;;
Das Konzert war ein echtes Highlight.;Spoken Speech - Simple;;;;;;;;;;;
Ich bin froh, dass wir uns endlich wiedersehen.;Spoken Speech - Simple;;;;;;;;;;;
Der Kuchen ist perfekt gelungen, ich bin richtig stolz darauf.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende einen kleinen Roadtrip machen.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon das neue Buch von deinem Lieblingsautor gelesen?;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, mal wieder Zeit für sich selbst zu haben.;Spoken Speech - Simple;;;;;;;;;;;
Der Park war voll von Menschen, die das schöne Wetter genossen haben.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir vorgenommen, gesünder zu essen.;Spoken Speech - Simple;;;;;;;;;;;
Kannst du mir einen guten Friseur empfehlen?;Spoken Speech - Simple;;;;;;;;;;;
Der Vortrag hat mich sehr inspiriert.;Spoken Speech - Simple;;;;;;;;;;;
Wir müssen noch über das Budget für das Projekt sprechen.;Spoken Speech - Simple;;;;;;;;;;;
Die Stadt ist wunderschön beleuchtet zur Weihnachtszeit.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe endlich meine Prüfung bestanden!;Spoken Speech - Simple;;;;;;;;;;;
Das Wochenende war viel zu kurz.;Spoken Speech - Simple;;;;;;;;;;;
Ich bin gespannt, wie das neue Jahr wird.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten doch mal wieder einen Spieleabend machen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Hotelzimmer war einfach traumhaft.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe lange nicht mehr so gut geschlafen.;Spoken Speech - Simple;;;;;;;;;;;
Es ist schon spät, lass uns morgen weiterreden.;Spoken Speech - Simple;;;;;;;;;;;
Der neue Job ist eine echte Herausforderung, aber auch spannend.;Spoken Speech - Simple;;;;;;;;;;;
Ich hoffe, dass es bald wieder wärmer wird.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder hatten so viel Spaß beim Spielen im Schnee.;Spoken Speech - Simple;;;;;;;;;;;
Der Ausflug war eine tolle Idee, ich habe es sehr genossen.;Spoken Speech - Simple;;;;;;;;;;;
Wir müssen unbedingt den Termin im Kalender eintragen.;Spoken Speech - Simple;;;;;;;;;;;
Es gibt so viele interessante Bücher, ich weiß gar nicht, womit ich anfangen soll.;Spoken Speech - Simple;;;;;;;;;;;
Das Meeting war zwar lang, aber sehr produktiv.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten uns am Wochenende auf einen Kaffee treffen.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon die neue App ausprobiert?;Spoken Speech - Simple;;;;;;;;;;;
Die Blumen im Garten sind wunderschön aufgeblüht.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe schon lange nicht mehr so gelacht.;Spoken Speech - Simple;;;;;;;;;;;
Der Film war gut, aber das Ende war etwas enttäuschend.;Spoken Speech - Simple;;;;;;;;;;;
Die Sonne scheint so schön, ich möchte am liebsten draußen sitzen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe vergessen, wie viel Spaß es macht, draußen zu spielen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir überlegt, nächstes Jahr einen Sprachkurs zu machen.;Spoken Speech - Simple;;;;;;;;;;;
Der neue Laptop ist viel schneller als mein alter.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten überlegen, ob wir das Meeting online oder vor Ort abhalten.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern eine richtig gute Serie entdeckt, die du auch mögen könntest.;Spoken Speech - Simple;;;;;;;;;;;
Die Blumen im Garten brauchen dringend Wasser, es hat schon lange nicht mehr geregnet.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon gesehen, dass es heute Sonderangebote im Supermarkt gibt?;Spoken Speech - Simple;;;;;;;;;;;
Ich muss dringend meine E-Mails aufräumen, es sind viel zu viele ungelesene Nachrichten.;Spoken Speech - Simple;;;;;;;;;;;
Das Konzert war großartig, aber die Lautstärke war etwas zu hoch.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern ein neues Rezept ausprobiert, es war wirklich lecker.;Spoken Speech - Simple;;;;;;;;;;;
Wenn du möchtest, kann ich dich morgen früh mit dem Auto mitnehmen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben beim Basteln so viel Spaß gehabt, dass sie gar nicht mehr aufhören wollten.;Spoken Speech - Simple;;;;;;;;;;;
Ich bin total müde, weil ich letzte Nacht kaum geschlafen habe.;Spoken Speech - Simple;;;;;;;;;;;
Der Film war lustig, aber die Handlung war etwas vorhersehbar.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten bald entscheiden, wo wir Silvester feiern wollen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute so viele Dinge erledigt, dass ich mich jetzt richtig entspannt fühle.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Balkon ist einfach traumhaft, besonders bei Sonnenuntergang.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir vorgenommen, dieses Jahr mehr Sport zu treiben.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon alle Unterlagen für den Termin vorbereitet?;Spoken Speech - Simple;;;;;;;;;;;
Der Kuchen ist dir wirklich gut gelungen, schmeckt fantastisch!;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten nächstes Wochenende einen Ausflug ans Meer machen, wenn du Lust hast.;Spoken Speech - Simple;;;;;;;;;;;
Das neue Handy hat eine unglaublich gute Kamera.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe lange überlegt und mich schließlich für das blaue Kleid entschieden.;Spoken Speech - Simple;;;;;;;;;;;
Der Chef war heute ungewöhnlich gut gelaunt.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe meinen Schlüssel im Büro vergessen und musste zurückfahren.;Spoken Speech - Simple;;;;;;;;;;;
Das Essen war nicht nur lecker, sondern auch sehr schön angerichtet.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten bald anfangen, das Wohnzimmer zu streichen.;Spoken Speech - Simple;;;;;;;;;;;
Der Hund hat sich total gefreut, als wir zurückgekommen sind.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gerade ein interessantes Buch über Persönlichkeitsentwicklung gelesen.;Spoken Speech - Simple;;;;;;;;;;;
Wenn du Hilfe beim Lernen brauchst, sag einfach Bescheid.;Spoken Speech - Simple;;;;;;;;;;;
Der neue Kollege hat einen wirklich guten Eindruck hinterlassen.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten zusammen ins Fitnessstudio gehen, das motiviert mehr.;Spoken Speech - Simple;;;;;;;;;;;
Der Sonnenuntergang gestern war einfach atemberaubend.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon darauf, dich bald wiederzusehen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder sind heute sehr früh eingeschlafen.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten uns überlegen, wie wir das Problem am besten lösen können.;Spoken Speech - Simple;;;;;;;;;;;
Der Kuchen war zwar lecker, aber ein bisschen zu süß.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute Morgen einen schönen Spaziergang im Wald gemacht.;Spoken Speech - Simple;;;;;;;;;;;
Es gibt so viele Filme, die ich noch nicht gesehen habe.;Spoken Speech - Simple;;;;;;;;;;;
Der Kaffee schmeckt in diesem Café besonders gut.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten das Wochenende nutzen, um die Wohnung aufzuräumen.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon mal darüber nachgedacht, ins Ausland zu ziehen?;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gehört, dass es am Wochenende schneien soll.;Spoken Speech - Simple;;;;;;;;;;;
Der Urlaub war wunderbar, ich würde sofort wieder hinfahren.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe ein tolles Rezept für vegane Brownies gefunden.;Spoken Speech - Simple;;;;;;;;;;;
Die Präsentation war sehr gelungen, alle waren begeistert.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten uns bald um die Gartenarbeit kümmern.;Spoken Speech - Simple;;;;;;;;;;;
Der neue Film im Kino soll richtig gut sein.;Spoken Speech - Simple;;;;;;;;;;;
Es war so schön, mal wieder Zeit mit alten Freunden zu verbringen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern Abend ein sehr interessantes Gespräch geführt.;Spoken Speech - Simple;;;;;;;;;;;
Der Regen hat endlich aufgehört, wir können rausgehen.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende einen kleinen Roadtrip machen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder freuen sich schon auf den Besuch im Zoo.;Spoken Speech - Simple;;;;;;;;;;;
Hast du die neue Folge der Serie schon gesehen?;Spoken Speech - Simple;;;;;;;;;;;
Ich habe lange nicht mehr so gut gegessen wie heute.;Spoken Speech - Simple;;;;;;;;;;;
Das Konzert war ein echtes Erlebnis, so viel Energie!;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern einen Film gesehen, der mich sehr berührt hat.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten bald mit den Vorbereitungen für die Feier beginnen.;Spoken Speech - Simple;;;;;;;;;;;
Der neue Job ist sehr anspruchsvoll, aber auch spannend.;Spoken Speech - Simple;;;;;;;;;;;
Es ist erstaunlich, wie schnell sich die Natur im Frühling verändert.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe lange nach einem passenden Geschenk gesucht und endlich etwas gefunden.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon die neue Kaffeemaschine ausprobiert?;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mich entschieden, wieder mit dem Joggen anzufangen.;Spoken Speech - Simple;;;;;;;;;;;
Der neue Nachbar ist sehr sympathisch.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben sich riesig über die Geschenke gefreut.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe das Gefühl, dass es bald regnen wird.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend Pizza bestellen.;Spoken Speech - Simple;;;;;;;;;;;
Das Frühstück war wirklich lecker, vor allem die Croissants.;Spoken Speech - Simple;;;;;;;;;;;
Ich bin so froh, dass wir das Projekt endlich abgeschlossen haben.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten überlegen, ob wir das Meeting online abhalten.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon alle Weihnachtsgeschenke besorgt?;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern einen richtig schönen Spaziergang gemacht.;Spoken Speech - Simple;;;;;;;;;;;
Es ist so schön, mal wieder in der Natur zu sein.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Gipfel des Berges war einfach unglaublich.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir vorgenommen, mehr Zeit mit meiner Familie zu verbringen.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon das neue Restaurant in der Stadt ausprobiert?;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten uns morgen auf einen Kaffee treffen.;Spoken Speech - Simple;;;;;;;;;;;
Die Sonne scheint heute so schön, lass uns rausgehen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe lange nicht mehr so gut geschlafen wie letzte Nacht.;Spoken Speech - Simple;;;;;;;;;;;
Der Film war spannend, aber das Ende war enttäuschend.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf das Wochenende.;Spoken Speech - Simple;;;;;;;;;;;
Hast du die neuen Nachbarn schon kennengelernt?;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten zusammen einen Kuchen backen.;Spoken Speech - Simple;;;;;;;;;;;
Es ist immer schön, Zeit mit Freunden zu verbringen.;Spoken Speech - Simple;;;;;;;;;;;
Der Urlaub war genau das, was ich gebraucht habe.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder sind heute besonders kreativ.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten bald mit den Planungen für den Sommer beginnen.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon ein neues Buch angefangen?;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, sich Zeit für sich selbst zu nehmen.;Spoken Speech - Simple;;;;;;;;;;;
Der Vortrag war interessant, aber auch ziemlich lang.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute einen richtig produktiven Tag gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Die Blumen im Garten sind wunderschön.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern ein tolles Angebot gefunden.;Spoken Speech - Simple;;;;;;;;;;;
Es ist so entspannend, einfach mal nichts zu tun.;Spoken Speech - Simple;;;;;;;;;;;
Der Sonnenuntergang heute war unglaublich schön.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir vorgenommen, mehr Sport zu machen.;Spoken Speech - Simple;;;;;;;;;;;
Es war schön, mal wieder etwas Zeit für sich selbst zu haben.;Spoken Speech - Simple;;;;;;;;;;;
Der Ausflug in die Berge hat richtig Spaß gemacht.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute den ganzen Tag im Garten gespielt.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon darauf, wieder ans Meer zu fahren.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten bald entscheiden, wohin wir im Urlaub fahren möchten.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute den ganzen Tag im Büro gesessen und freue mich auf frische Luft.;Spoken Speech - Simple;;;;;;;;;;;
Das Wochenende war so schön, ich wollte gar nicht zurückkommen.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend zusammen kochen, was hältst du davon?;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben sich im Garten ein kleines Zelt aufgebaut.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gehört, dass es nächste Woche wieder wärmer werden soll.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, genug Wasser zu trinken, besonders an heißen Tagen.;Spoken Speech - Simple;;;;;;;;;;;
Der Film hat mich wirklich zum Nachdenken gebracht.;Spoken Speech - Simple;;;;;;;;;;;
Wenn du Hilfe beim Aufräumen brauchst, lass es mich wissen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute ein richtig gutes Schnäppchen gemacht.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Hotelzimmer war atemberaubend.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende ein neues Café ausprobieren.;Spoken Speech - Simple;;;;;;;;;;;
Der Kuchen ist leider nichts geworden, ich weiß nicht, was schiefgelaufen ist.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe schon lange nicht mehr so viel Spaß gehabt wie heute.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder sind schon ganz aufgeregt wegen der bevorstehenden Klassenfahrt.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe vor, morgen früh eine Runde joggen zu gehen.;Spoken Speech - Simple;;;;;;;;;;;
Es war schön, mal wieder in der Heimat zu sein.;Spoken Speech - Simple;;;;;;;;;;;
Der neue Kollege hat sich gut ins Team eingefügt.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe vergessen, die Blumen zu gießen, und jetzt sind sie ganz trocken.;Spoken Speech - Simple;;;;;;;;;;;
Wenn das Wetter morgen schön ist, könnten wir grillen.;Spoken Speech - Simple;;;;;;;;;;;
Die neue Staffel der Serie ist endlich draußen, ich kann es kaum erwarten.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir überlegt, mit Yoga anzufangen.;Spoken Speech - Simple;;;;;;;;;;;
Der Kaffee schmeckt heute irgendwie besser als sonst.;Spoken Speech - Simple;;;;;;;;;;;
Hast du schon gehört, dass es bald eine neue Ausstellung gibt?;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben im Sandkasten gespielt und sich total dreckig gemacht.;Spoken Speech - Simple;;;;;;;;;;;
Es ist schön, einfach mal die Seele baumeln zu lassen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir eine neue Jacke gekauft, sie passt perfekt.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten die Fahrräder aus dem Keller holen und eine Tour machen.;Spoken Speech - Simple;;;;;;;;;;;
Der Sonnenaufgang heute Morgen war einfach traumhaft.;Spoken Speech - Simple;;;;;;;;;;;
Die Nachbarn haben gestern eine Party gefeiert, es war ziemlich laut.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf das nächste Familientreffen.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, mal wieder etwas Zeit für sich selbst zu haben.;Spoken Speech - Simple;;;;;;;;;;;
Der Hund hat beim Spaziergang einen anderen Hund getroffen und sie haben gespielt.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe lange nach einem Parkplatz gesucht und endlich einen gefunden.;Spoken Speech - Simple;;;;;;;;;;;
Die Blumen im Garten brauchen dringend Wasser.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende einen Ausflug ins Grüne machen.;Spoken Speech - Simple;;;;;;;;;;;
Der neue Film im Kino soll sehr spannend sein.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe gestern eine Dokumentation über Naturwunder gesehen, sie war faszinierend.;Spoken Speech - Simple;;;;;;;;;;;
Das Frühstück heute war besonders lecker, ich habe es sehr genossen.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, ab und zu einfach mal abzuschalten.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir vorgenommen, dieses Jahr mehr Bücher zu lesen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder freuen sich schon auf den Besuch im Freizeitpark.;Spoken Speech - Simple;;;;;;;;;;;
Der Kuchen ist leider etwas verbrannt, aber er schmeckt trotzdem gut.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten bald mit den Planungen für den Urlaub beginnen.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Berggipfel war atemberaubend.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mich entschieden, einen Kochkurs zu machen.;Spoken Speech - Simple;;;;;;;;;;;
Der Hund hat sich im Garten ein Loch gebuddelt.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute im Garten gespielt und viel gelacht.;Spoken Speech - Simple;;;;;;;;;;;
Es ist schön, den Tag mit einem guten Buch ausklingen zu lassen.;Spoken Speech - Simple;;;;;;;;;;;
Der Sonnenuntergang war heute besonders schön.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten am Wochenende eine Wanderung machen.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe heute einen besonders produktiven Tag gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Es ist wichtig, sich Zeit für Familie und Freunde zu nehmen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute beim Malen viel Kreativität gezeigt.;Spoken Speech - Simple;;;;;;;;;;;
Der neue Film hat mich sehr beeindruckt.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe mir vorgenommen, mehr Sport zu treiben.;Spoken Speech - Simple;;;;;;;;;;;
Es tut gut, einfach mal in der Natur zu sein.;Spoken Speech - Simple;;;;;;;;;;;
Die Aussicht vom Hotelbalkon war traumhaft.;Spoken Speech - Simple;;;;;;;;;;;
Wir könnten heute Abend einen Film schauen.;Spoken Speech - Simple;;;;;;;;;;;
Ich freue mich schon auf das nächste Wochenende.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute im Garten gespielt und sich gut beschäftigt.;Spoken Speech - Simple;;;;;;;;;;;
Ich habe ein neues Rezept ausprobiert und es ist gut gelungen.;Spoken Speech - Simple;;;;;;;;;;;
Es ist schön, den Tag mit einem Spaziergang zu beginnen.;Spoken Speech - Simple;;;;;;;;;;;
Der neue Kollege hat sich gut ins Team integriert.;Spoken Speech - Simple;;;;;;;;;;;
Wir sollten bald mit den Vorbereitungen für die Feier beginnen.;Spoken Speech - Simple;;;;;;;;;;;
Die Kinder haben heute viel Spaß beim Basteln gehabt.;Spoken Speech - Simple;;;;;;;;;;;
Der Sonnenaufgang heute Morgen war atemberaubend.;Spoken Speech - Simple;;;;;;;;;;;
